,title,writer,main_idea,genre,category,short_description
13,طرف خانه سوان,مارسل پروست,تحلیل عشق و روابط انسانی,رمان,ادبیات کلاسیک,این کتاب اولین جلد از مجموعه 'در جستجوی زمان از دست رفته' است و به بررسی عشق و روابط انسانی از دیدگاه شخصیت‌های مختلف می‌پردازد.
14,در سایه دوشیزگان شکوفا,مارسل پروست,تجربه‌های جوانی و تاثیر آن‌ها بر شخصیت,رمان,ادبیات کلاسیک,این کتاب دومین جلد از مجموعه 'در جستجوی زمان از دست رفته' است و به بررسی تجربه‌های جوانی و تاثیر آن‌ها بر شکل‌گیری شخصیت انسان می‌پردازد.
15,آرزوهای بزرگ,چارلز دیکنز,رشد و تحول شخصیت اصلی از کودکی تا بزرگسالی,رمان,ادبیات کلاسیک,این کتاب داستان زندگی پسر یتیمی به نام پیپ را روایت می‌کند که با کمک یک خیر ناشناس به آرزوهای بزرگ خود دست می‌یابد.
16,داستان دو شهر,چارلز دیکنز,تضاد و تغییرات اجتماعی در دوران انقلاب فرانسه,رمان تاریخی,ادبیات کلاسیک,این کتاب داستان دو شهر لندن و پاریس را در دوران انقلاب فرانسه به تصویر می‌کشد و به بررسی تاثیرات این انقلاب بر زندگی مردم می‌پردازد.
17,الیور توئیست,چارلز دیکنز,مبارزه یک پسر یتیم برای بقا و یافتن هویت خود,رمان اجتماعی,ادبیات کلاسیک,این کتاب داستان زندگی الیور توئیست، پسر یتیمی که در فقر و سختی بزرگ می‌شود و تلاش می‌کند تا راه خود را در جامعه پیدا کند، روایت می‌کند.
18,جنگ و صلح,لئو تولستوی,تأثیر جنگ بر زندگی افراد و جامعه,رمان تاریخی,ادبیات کلاسیک,این کتاب به بررسی تأثیرات جنگ ناپلئون بر جامعه روسیه و زندگی افراد مختلف می‌پردازد و داستان‌های متعددی از عشق، فداکاری و تغییرات اجتماعی را روایت می‌کند.
19,آنا کارنینا,لئو تولستوی,تضاد بین عشق و وظیفه اجتماعی,رمان اجتماعی,ادبیات کلاسیک,این رمان داستان زندگی آنا کارنینا، زنی از طبقه اشرافی روسیه، و مشکلاتی که در پی عشق ممنوعه‌اش با یک افسر جوان به وجود می‌آید را به تصویر می‌کشد.
20,رستاخیز,لئو تولستوی,توبه و بازگشت به ارزش‌های اخلاقی,رمان فلسفی,ادبیات کلاسیک,این کتاب داستان شاهزاده نخلودوف را روایت می‌کند که پس از مواجهه با زنی که در گذشته به او ظلم کرده، به دنبال توبه و جبران اشتباهات خود می‌رود.
21,جنایت و مکافات,داستایوفسکی,تضاد اخلاقی و روانی انسان,رمان,ادبیات کلاسیک,این کتاب داستان راسکولنیکف، دانشجویی فقیر است که به دلیل مشکلات مالی و فلسفه‌های شخصی‌اش، مرتکب قتل می‌شود و سپس با عواقب روانی و اخلاقی این عمل دست و پنجه نرم می‌کند.
22,برادران کارامازوف,داستایوفسکی,پرسش‌های فلسفی و اخلاقی درباره خدا، آزادی و مسئولیت,رمان,ادبیات کلاسیک,این کتاب داستان چهار برادر کارامازوف را روایت می‌کند که هر یک نماینده یک جنبه از انسانیت هستند و درگیر مسائل پیچیده خانوادگی، اخلاقی و فلسفی می‌شوند.
23,ابله,داستایوفسکی,تضاد بین معصومیت و فساد اجتماعی,رمان,ادبیات کلاسیک,این کتاب داستان شاهزاده میشکین، فردی معصوم و ساده‌لوح است که به دلیل رفتارهای صادقانه و بی‌ریای خود در جامعه‌ای فاسد و پیچیده، با مشکلات و چالش‌های فراوانی روبرو می‌شود.
24,1984,جورج اورول,کنترل دولت بر زندگی خصوصی افراد,داستان علمی-تخیلی,رمان,این کتاب داستانی از یک جامعه دیکتاتوری است که در آن دولت با استفاده از تکنولوژی و پروپاگاندا، زندگی و افکار مردم را کنترل می‌کند.
25,مزرعه حیوانات,جورج اورول,نقد انقلاب‌ها و فساد قدرت,داستان تمثیلی,رمان,این کتاب داستانی تمثیلی از یک مزرعه است که حیوانات آن علیه صاحب مزرعه شورش می‌کنند و خودشان مدیریت مزرعه را به دست می‌گیرند، اما در نهایت به همان مشکلاتی که علیه آن شورش کرده بودند، دچار می‌شوند.
26,هوای تازه,جورج اورول,بحران هویت و نارضایتی از زندگی,داستان اجتماعی,رمان,این کتاب داستان زندگی مردی به نام جورج بولینگ است که در میانسالی دچار بحران هویت و نارضایتی از زندگی می‌شود و به دنبال راهی برای فرار از روزمرگی و یافتن معنای جدیدی برای زندگی‌اش می‌گردد.
27,صد سال تنهایی,گابریل گارسیا مارکز,تاریخچه خانواده بوئندیا در دهکده ماکوندو,رئالیسم جادویی,رمان,این کتاب داستان چند نسل از خانواده بوئندیا را در دهکده خیالی ماکوندو روایت می‌کند و به بررسی موضوعاتی چون عشق، جنگ، انقلاب و تنهایی می‌پردازد.
28,عشق در سال‌های وبا,گابریل گارسیا مارکز,عشق پایدار و صبر در برابر زمان,رمان عاشقانه,رمان,این کتاب داستان عشق طولانی و پر از فراز و نشیب بین فلورنتینو آریزا و فرمینا دازا را روایت می‌کند که پس از سال‌ها جدایی و مشکلات به هم می‌رسند.
29,پاییز پدرسالار,گابریل گارسیا مارکز,قدرت و فساد در حکومت دیکتاتوری,رئالیسم جادویی,رمان,این کتاب داستان زندگی یک دیکتاتور بی‌نام و نشان را روایت می‌کند که در یک کشور خیالی آمریکای لاتین حکومت می‌کند و به بررسی فساد و تنهایی او می‌پردازد.
30,قوی سیاه,نسیم طالب,رویدادهای نادر و غیرقابل پیش‌بینی که تأثیرات عظیمی دارند,فلسفه و اقتصاد,غیر داستانی,این کتاب به بررسی رویدادهای نادر و غیرقابل پیش‌بینی می‌پردازد که تأثیرات عظیمی بر جهان دارند و چگونه می‌توانیم با این نوع رویدادها مواجه شویم.
31,پوست در بازی,نسیم طالب,اهمیت داشتن ریسک شخصی در تصمیم‌گیری‌ها,فلسفه و اقتصاد,غیر داستانی,این کتاب به اهمیت داشتن ریسک شخصی در تصمیم‌گیری‌ها و تأثیر آن بر نتایج و مسئولیت‌پذیری می‌پردازد.
32,آنتی شکنندگی,نسیم طالب,چگونه سیستم‌ها و افراد می‌توانند از نوسانات و آشفتگی‌ها بهره‌مند شوند,فلسفه و اقتصاد,غیر داستانی,این کتاب به بررسی مفهوم آنتی شکنندگی می‌پردازد و توضیح می‌دهد که چگونه سیستم‌ها و افراد می‌توانند از نوسانات و آشفتگی‌ها بهره‌مند شوند و قوی‌تر شوند.
33,زندگی دوم,اس.جی. واتسون,کشف هویت و معنای زندگی,رمان,ادبیات داستانی,این کتاب داستان زنی است که پس از یک حادثه، حافظه‌اش را از دست می‌دهد و تلاش می‌کند تا هویت و گذشته خود را باز یابد.
34,زندگی پس از زندگی,کیت اتکینسون,تکرار زندگی و انتخاب‌های مختلف,رمان,ادبیات داستانی,این کتاب داستان زنی است که بارها و بارها زندگی می‌کند و هر بار با انتخاب‌های مختلفی روبرو می‌شود که مسیر زندگی‌اش را تغییر می‌دهد.
35,پروژه شادی,گریچن روبین,جستجوی خوشبختی و رضایت در زندگی,غیرداستانی,خودشناسی و روانشناسی,این کتاب داستان نویسنده‌ای است که تصمیم می‌گیرد یک سال از زندگی‌اش را به جستجوی خوشبختی و رضایت اختصاص دهد و تجربیات خود را به اشتراک می‌گذارد.
36,ارباب حلقه‌ها,جی. آر. آر. تالکین,مبارزه بین خیر و شر در دنیای خیالی میدل ارث,فانتزی,رمان,این کتاب داستان گروهی از قهرمانان را روایت می‌کند که برای نابودی حلقه‌ای قدرتمند و شکست دادن ارباب تاریکی، سائورون، به سفر می‌روند.
37,نارنیا: شیر، جادوگر و کمد,سی. اس. لوئیس,ماجراجویی چهار کودک در دنیای جادویی نارنیا,فانتزی,رمان,چهار کودک از طریق یک کمد جادویی به دنیای نارنیا وارد می‌شوند و با شیر بزرگ، اصلان، و جادوگر سفید روبرو می‌شوند.
38,ارباب زمان,تری پرچت,ماجراجویی در دنیای دیسک‌ورلد و تلاش برای نجات زمان,فانتزی,رمان,این کتاب داستان ماجراجویی‌های شخصیت‌های مختلف در دنیای دیسک‌ورلد را روایت می‌کند که باید با چالش‌های مختلفی روبرو شوند تا زمان را نجات دهند.
39,نغمه یخ و آتش,جورج آر. آر. مارتین,مبارزه برای تاج و تخت در دنیایی پر از خیانت و جادو,فانتزی حماسی,رمان,این مجموعه داستانی پیچیده از نبردهای سیاسی و نظامی در دنیایی خیالی است که در آن خاندان‌های مختلف برای به دست آوردن تاج و تخت مبارزه می‌کنند.
40,چرخ زمان,رابرت جوردن,نبرد بین نیروهای نور و تاریکی در دنیایی جادویی,فانتزی حماسی,رمان,این مجموعه داستانی درباره نبرد بین نیروهای خیر و شر در دنیایی پر از جادو و موجودات افسانه‌ای است که در آن قهرمانان باید سرنوشت جهان را تعیین کنند.
41,ارباب سایه‌ها,براندون سندرسون,مبارزه با نیروهای تاریکی در دنیایی پر از جادو و اسرار,فانتزی حماسی,رمان,این داستان درباره گروهی از قهرمانان است که باید با نیروهای تاریکی مبارزه کنند و اسرار دنیای جادویی خود را کشف کنند تا بتوانند جهان را نجات دهند.
42,جنگ و صلح,لئو تولستوی,تأثیر جنگ بر زندگی افراد و جامعه,رمان تاریخی,ادبیات کلاسیک,این کتاب به بررسی زندگی چندین شخصیت در دوران جنگ‌های ناپلئونی می‌پردازد و تأثیرات جنگ بر زندگی آن‌ها را نشان می‌دهد.
43,جنایت و مکافات,فیودور داستایوفسکی,مبارزه درونی انسان با گناه و پشیمانی,رمان فلسفی,ادبیات کلاسیک,این کتاب داستان دانشجویی فقیر را روایت می‌کند که مرتکب قتل می‌شود و سپس با عواقب روانی و اخلاقی این عمل دست و پنجه نرم می‌کند.
44,برادران کارامازوف,فیودور داستایوفسکی,بررسی پیچیدگی‌های اخلاقی و فلسفی زندگی,رمان فلسفی,ادبیات کلاسیک,این کتاب داستان خانواده‌ای پیچیده و پر از تضاد را روایت می‌کند و به بررسی مسائل اخلاقی، دینی و فلسفی می‌پردازد.
45,دنیای قشنگ نو,آلدوس هاکسلی,کنترل اجتماعی و از بین بردن فردیت,علمی-تخیلی,رمان,در این کتاب، جامعه‌ای به تصویر کشیده شده که در آن انسان‌ها تحت کنترل شدید دولت و تکنولوژی قرار دارند و فردیت و آزادی‌های شخصی از بین رفته است.
46,ما,یوگنی زامیاتین,نقد جامعه توتالیتر و از بین بردن آزادی‌های فردی,علمی-تخیلی,رمان,این کتاب داستان جامعه‌ای را روایت می‌کند که در آن دولت تمام جنبه‌های زندگی افراد را کنترل می‌کند و هرگونه مخالفت با سیستم سرکوب می‌شود.
47,فارِنهایت ۴۵۱,ری بردبری,سانسور و نابودی دانش,علمی-تخیلی,رمان,در این کتاب، جامعه‌ای به تصویر کشیده شده که در آن کتاب‌ها ممنوع و سوزانده می‌شوند و مردم از طریق رسانه‌های دولتی کنترل می‌شوند.
48,۱۹۸۴,جورج اورول,کنترل دولت بر زندگی خصوصی افراد و خطرات حکومت‌های توتالیتر,داستان علمی-تخیلی,رمان,این کتاب داستان وینستون اسمیت را روایت می‌کند که در دنیایی تحت کنترل دولت بزرگ زندگی می‌کند و تلاش می‌کند تا از کنترل و نظارت دائمی فرار کند.
49,دنیای قشنگ نو,آلدوس هاکسلی,خطرات پیشرفت‌های علمی و تکنولوژیکی بر آزادی و انسانیت,داستان علمی-تخیلی,رمان,این کتاب دنیایی را به تصویر می‌کشد که در آن انسان‌ها تحت کنترل دولت و تکنولوژی زندگی می‌کنند و آزادی و فردیت خود را از دست داده‌اند.
50,ما,یوگنی زامیاتین,نقد حکومت‌های توتالیتر و از بین رفتن فردیت در جامعه,داستان علمی-تخیلی,رمان,این کتاب داستان جامعه‌ای را روایت می‌کند که در آن همه چیز تحت کنترل دولت است و افراد به عنوان شماره‌های بی‌نام و نشان زندگی می‌کنند.
51,جزء از کل,استیو تولتز,روابط پیچیده خانوادگی و جستجوی معنا در زندگی,رمان,ادبیات معاصر,این کتاب داستان زندگی پدر و پسری است که در جستجوی معنا و هدف در زندگی خود هستند و با چالش‌های مختلفی روبرو می‌شوند.
52,ناتور دشت,جی. دی. سلینجر,بحران هویت و جستجوی خود در دوران نوجوانی,رمان,ادبیات کلاسیک,این کتاب داستان هولدن کالفیلد، نوجوانی است که با بحران هویت و مشکلات دوران نوجوانی دست و پنجه نرم می‌کند.
53,زندگی پی,یان مارتل,بقا و جستجوی ایمان در شرایط سخت,رمان,ادبیات معاصر,این کتاب داستان پسری به نام پی است که پس از غرق شدن کشتی، در یک قایق نجات با یک ببر بنگال به نام ریچارد پارکر گیر می‌افتد و تلاش می‌کند تا زنده بماند.
54,بادبادک‌باز,خالد حسینی,دوستی و خیانت در افغانستان,رمان تاریخی,ادبیات معاصر,این کتاب داستان دو دوست در افغانستان را روایت می‌کند که با چالش‌های اجتماعی و سیاسی مواجه می‌شوند.
55,زنان کوچک,لوئیزا می الکات,زندگی و رشد چهار خواهر در دوران جنگ داخلی آمریکا,رمان کلاسیک,ادبیات کلاسیک,این کتاب داستان چهار خواهر را در دوران جنگ داخلی آمریکا روایت می‌کند و به چالش‌ها و موفقیت‌های آن‌ها می‌پردازد.
56,خاک خوب,پرل باک,زندگی یک کشاورز چینی و خانواده‌اش,رمان تاریخی,ادبیات کلاسیک,این کتاب داستان زندگی یک کشاورز چینی و خانواده‌اش را در دوران تغییرات اجتماعی و اقتصادی چین روایت می‌کند.
57,جین ایر,شارلوت برونته,عشق و استقلال,رمان عاشقانه,ادبیات کلاسیک,داستان زندگی جین ایر، دختری یتیم که با مشکلات فراوانی روبرو می‌شود و در نهایت به عشق و استقلال دست می‌یابد.
58,غرور و تعصب,جین آستن,عشق و تفاوت‌های اجتماعی,رمان عاشقانه,ادبیات کلاسیک,داستان عشق و تفاوت‌های اجتماعی بین الیزابت بنت و آقای دارسی که با چالش‌های فراوانی روبرو می‌شوند.
59,بلندی‌های بادگیر,امیلی برونته,عشق و انتقام,رمان عاشقانه,ادبیات کلاسیک,داستان عشق پیچیده و انتقام بین هیثکلیف و کاترین ارنشاو که در محیطی تاریک و پر از تنش رخ می‌دهد.
60,هنر ظریف بی‌خیالی,مارک منسن,تمرکز بر چیزهای مهم و رها کردن نگرانی‌های بی‌اهمیت,روانشناسی,خودشناسی و توسعه فردی,این کتاب به خوانندگان کمک می‌کند تا با تمرکز بر اولویت‌های واقعی زندگی، از نگرانی‌های بی‌اهمیت رها شوند و زندگی بهتری داشته باشند.
61,زندگی دومینیکا,پائولو کوئلیو,جستجوی معنا و هدف در زندگی,رمان,ادبیات داستانی,داستان زنی که در جستجوی معنا و هدف در زندگی خود، با چالش‌ها و تغییرات بزرگی مواجه می‌شود و در نهایت به درک عمیق‌تری از خود و زندگی می‌رسد.
62,پیرمرد و دریا,ارنست همینگوی,مبارزه و استقامت در برابر سختی‌ها,رمان,ادبیات کلاسیک,داستان پیرمردی ماهیگیر که با یک ماهی بزرگ مبارزه می‌کند و این مبارزه نمادی از تلاش و استقامت در برابر سختی‌های زندگی است.
63,بامداد خمار,فتانه حاج سید جوادی,عشق و تفاوت‌های طبقاتی,عاشقانه,رمان,داستان عشق دختری از خانواده‌ای مرفه به پسری از طبقه پایین جامعه و مشکلاتی که در این راه با آن‌ها مواجه می‌شود.
64,چراغ‌ها را من خاموش می‌کنم,زویا پیرزاد,عشق و زندگی روزمره,عاشقانه,رمان,داستان زندگی زنی خانه‌دار در آبادان و چالش‌های او با عشق و مسئولیت‌های خانوادگی.
65,سمفونی مردگان,عباس معروفی,عشق و تراژدی,عاشقانه,رمان,داستان زندگی خانواده‌ای در اردبیل و عشق‌های ناکام و تراژدی‌هایی که بر سر آن‌ها می‌آید.
66,شاه لیر,ویلیام شکسپیر,قدرت و جنون,تراژدی,ادبیات کلاسیک,این نمایشنامه داستان پادشاهی است که تصمیم می‌گیرد قلمرو خود را بین سه دخترش تقسیم کند، اما این تصمیم به فاجعه‌ای بزرگ منجر می‌شود.
67,آنتیگونه,سوفوکل,قانون و اخلاق,تراژدی,ادبیات کلاسیک,این نمایشنامه درباره دختری است که تصمیم می‌گیرد بر خلاف فرمان پادشاه، برادرش را دفن کند و در نتیجه با عواقب سنگینی مواجه می‌شود.
68,مکبث,ویلیام شکسپیر,جاه‌طلبی و خیانت,تراژدی,ادبیات کلاسیک,این نمایشنامه داستان یک نجیب‌زاده اسکاتلندی است که به تحریک همسرش و پیشگویی‌های سه جادوگر، به قتل پادشاه دست می‌زند و در نهایت به سقوط خود می‌انجامد.
69,مسافر,جان اسکالزی,سفر در زمان و تاثیرات آن بر تاریخ و آینده,علمی-تخیلی,رمان,این کتاب داستان یک گروه از مسافران زمان را روایت می‌کند که به گذشته سفر می‌کنند تا از وقوع یک فاجعه بزرگ جلوگیری کنند.
70,پایان ابدیت,آیزاک آسیموف,کنترل زمان و تاثیرات آن بر جامعه,علمی-تخیلی,رمان,این کتاب درباره سازمانی است که توانایی کنترل زمان را دارد و تلاش می‌کند تا با تغییرات کوچک در گذشته، آینده را بهبود بخشد.
71,دنیای جدید شجاع,آلدوس هاکسلی,آینده‌ای دیستوپیایی که در آن انسان‌ها تحت کنترل کامل دولت هستند,علمی-تخیلی,رمان,این کتاب به بررسی جامعه‌ای می‌پردازد که در آن انسان‌ها از طریق تکنولوژی و کنترل ذهنی تحت سلطه دولت قرار دارند و آزادی‌های فردی از بین رفته است.
72,ارباب حلقه‌ها,جی. آر. آر. تالکین,مبارزه بین خیر و شر در دنیای خیالی میانه‌زمین,فانتزی,رمان,داستانی حماسی درباره‌ی گروهی از قهرمانان که برای نابودی حلقه‌ی قدرت و شکست دادن ارباب تاریکی، سائورون، تلاش می‌کنند.
73,هری پاتر و سنگ جادو,جی. کی. رولینگ,ماجراهای یک پسر جادوگر در مدرسه‌ی جادوگری هاگوارتز,فانتزی,رمان,هری پاتر، پسری که در کودکی والدینش را از دست داده، متوجه می‌شود که جادوگر است و به مدرسه‌ی جادوگری هاگوارتز می‌رود، جایی که با دوستان جدید و دشمنان قدیمی روبرو می‌شود.
74,نغمه‌ی یخ و آتش,جورج آر. آر. مارتین,مبارزه برای تاج و تخت در دنیای خیالی وستروس,فانتزی,رمان,داستانی پیچیده و چندلایه درباره‌ی خاندان‌های مختلف که برای کنترل تاج و تخت آهنین در دنیای خیالی وستروس به مبارزه می‌پردازند.
75,دختری در قطار,پائولا هاوکینز,یک زن که هر روز با قطار به محل کارش می‌رود، شاهد اتفاقات مشکوکی می‌شود که او را درگیر یک ماجرای جنایی می‌کند.,جنایی,رمان,این کتاب داستان زنی به نام ریچل است که هر روز با قطار به محل کارش می‌رود و از پنجره قطار زندگی یک زوج را مشاهده می‌کند. اما یک روز شاهد اتفاقی می‌شود که او را درگیر یک ماجرای جنایی پیچیده می‌کند.
76,دختری با خالکوبی اژدها,استیگ لارسن,یک خبرنگار و یک هکر با هم همکاری می‌کنند تا راز یک پرونده قدیمی و پیچیده را کشف کنند.,جنایی,رمان,این کتاب داستان میکائیل بلومکویست، یک خبرنگار تحقیقی، و لیسبت سالاندر، یک هکر با استعداد، را روایت می‌کند که با هم همکاری می‌کنند تا راز ناپدید شدن یک دختر جوان از یک خانواده ثروتمند را کشف کنند.
77,قتل در قطار سریع‌السیر شرق,آگاتا کریستی,کارآگاه هرکول پوآرو باید راز قتل یک مسافر در قطار سریع‌السیر شرق را کشف کند.,جنایی,رمان,این کتاب داستان کارآگاه معروف هرکول پوآرو را روایت می‌کند که در قطار سریع‌السیر شرق در حال سفر است. وقتی یکی از مسافران به قتل می‌رسد، پوآرو باید با استفاده از هوش و ذکاوت خود قاتل را پیدا کند.
78,بوف کور,صادق هدایت,تنهایی و بیگانگی انسان در جامعه,درام,ادبیات فارسی,بوف کور داستانی است که به بررسی تنهایی و بیگانگی انسان در جامعه می‌پردازد و با نثری پیچیده و نمادین، به عمق روان انسان نفوذ می‌کند.
79,کلیدر,محمود دولت‌آبادی,مبارزه و مقاومت در برابر ظلم و ستم,درام,ادبیات فارسی,کلیدر داستانی حماسی و درام است که به زندگی و مبارزات یک خانواده روستایی در برابر ظلم و ستم می‌پردازد و تصویری واقعی از زندگی مردم ایران در دوران گذشته ارائه می‌دهد.
80,سووشون,سیمین دانشور,مقاومت و پایداری در برابر ناملایمات,درام,ادبیات فارسی,سووشون داستانی است که به بررسی زندگی یک خانواده در دوران اشغال ایران توسط نیروهای متفقین می‌پردازد و به موضوعاتی همچون مقاومت، پایداری و عشق می‌پردازد.
81,تاریخ بیهقی,ابوالفضل بیهقی,تاریخ حکومت غزنویان,تاریخی,ادبیات فارسی,این کتاب یکی از مهم‌ترین منابع تاریخی دوره غزنویان است که توسط ابوالفضل بیهقی نوشته شده و به بررسی وقایع و شخصیت‌های این دوره می‌پردازد.
82,تاریخ طبری,محمد بن جریر طبری,تاریخ جهان از آغاز تا زمان نویسنده,تاریخی,تاریخ اسلام,این کتاب یکی از جامع‌ترین و معتبرترین منابع تاریخی است که تاریخ جهان را از آغاز تا زمان نویسنده به تفصیل بیان می‌کند.
83,تاریخ جهانگشای جوینی,عطاء ملک جوینی,تاریخ حمله مغول به ایران و جهان,تاریخی,تاریخ ایران,این کتاب به بررسی حمله مغول به ایران و دیگر مناطق جهان می‌پردازد و توسط عطاء ملک جوینی، یکی از مورخان برجسته دوره مغول، نوشته شده است.
84,درخشش,استیون کینگ,تأثیرات روانی و فراطبیعی یک هتل خالی بر یک خانواده,وحشت,رمان,جک تورنس، نویسنده‌ای که به عنوان سرایدار زمستانی هتل اورلوک استخدام می‌شود، به همراه خانواده‌اش به این هتل دورافتاده می‌رود. اما به زودی متوجه می‌شوند که هتل دارای نیروهای فراطبیعی و تاریکی است که جک را به جنون می‌کشاند.
85,آن,استیون کینگ,مبارزه گروهی از کودکان با موجودی شیطانی که به شکل دلقک ظاهر می‌شود,وحشت,رمان,در شهر کوچک دری، گروهی از کودکان با موجودی شیطانی به نام پنی‌وایز که به شکل دلقک ظاهر می‌شود، مواجه می‌شوند. این موجود هر ۲۷ سال یکبار بازمی‌گردد تا کودکان را شکار کند. داستان در دو زمان مختلف روایت می‌شود: دوران کودکی و بزرگسالی این گروه.
86,خانه‌ای در خیابان مانگو,مارک ز. دانیلوفسکی,کشف اسرار تاریک و فراطبیعی یک خانه عجیب,وحشت,رمان,خانواده ناویدسون به خانه‌ای جدید در خیابان مانگو نقل مکان می‌کنند، اما به زودی متوجه می‌شوند که این خانه دارای اتاق‌ها و راهروهای غیرممکن و فراطبیعی است. داستان از طریق مجموعه‌ای از اسناد، یادداشت‌ها و روایت‌های مختلف بازگو می‌شود.
87,دن کیشوت,میگل د سروانتس,ماجراجویی‌های یک شوالیه خیالی,کمدی,رمان,دن کیشوت داستان یک شوالیه خیالی است که به همراه خدمتکار وفادارش، سانچو پانزا، به ماجراجویی‌های خنده‌دار و پوچ می‌پردازد.
88,سه مرد در یک قایق,جروم کی. جروم,سفر خنده‌دار سه دوست در رودخانه تیمز,کمدی,رمان,این کتاب داستان سه دوست است که تصمیم می‌گیرند با یک قایق در رودخانه تیمز سفر کنند و در طول مسیر با ماجراهای خنده‌دار و مشکلات غیرمنتظره‌ای روبرو می‌شوند.
89,پیرمرد و دریا,ارنست همینگوی,مبارزه یک پیرمرد با یک ماهی بزرگ,کمدی,رمان,این کتاب داستان یک ماهیگیر پیر است که با یک ماهی بزرگ مبارزه می‌کند. هرچند که این کتاب بیشتر به عنوان یک تراژدی شناخته می‌شود، اما لحظات طنزآمیز نیز در آن وجود دارد.
90,قتل در قطار سریع‌السیر شرق,آگاتا کریستی,کارآگاه هرکول پوآرو باید معمای قتل در قطار سریع‌السیر شرق را حل کند.,کارآگاهی,رمان,در این داستان، هرکول پوآرو، کارآگاه مشهور، در قطار سریع‌السیر شرق با یک قتل مواجه می‌شود و باید با استفاده از هوش و ذکاوت خود، قاتل را پیدا کند.
